review	aspect	sentiment
If you want something really different than try Jekyll and Hyde.	Jekyll and Hyde	1
The food was pretty tradional but it was hot and good with large portions.	food	1
The characters really make for an enjoyable experience.	characters	1
The food however, is what one might expect.	food	-1
However, I think Jeckll and Hydes t is one of those places that is fun to do once.	Jeckll and Hydes	1
Service was slow had to wait to order and get food although not crowded.	Service	-1
Drinks way over priced.	Drinks	-1
Food was good not great not worth the wait or another visit	Food	0
Great pizza for lunch place.	pizza	1
Service was quick.	Service	1
The pizza was great.	pizza	1
Have the iced tea.	iced tea	1
Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.	fish	1
Delivery is fast too.	Delivery	1
Great friendly service, Fast seating, Fast Delivery, Excellent sushi.	service	1
Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.	bagel	1
The bagels always warm, soft on the inside, crispy on the outside and enormous in size.	bagels	1
They have a huge selection of different cream cheeses and all of their salads are great.	cream cheeses	1
The lox is always fresh too.	lox	1
Not impressed with the food.	food	-1
Prices too high for this cramped and unappealing resturant.	resturant	-1
Zero ambiance to boot.	ambiance	-1
The ambience was nice, but service wasn't so great.	ambience	1
This is the BEST Shabu-Shabu Restaurant in the Try-State Area.	Shabu-Shabu Restaurant	1
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.	food	1
Thius is a must for anyone who loves Shabu-Shabu.	Shabu-Shabu	1
The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.	atmosphere	1
The owner and staff are all Japanese as well and that adds to the entire ambiance.	owner	1
Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.	menu	-1
Taxan delicious!	Taxan	1
The prices were CHEAP compared to the quality of service and food.	service	1
The location and ambience is Ok but the food is what makes up for it.	location	1
Try green curry with vegetables.	green curry with vegetables	1
I had the best ravioli ever.	ravioli	1
The wine the service was very good too.	wine	1
This quaint and romantic trattoria is at the top of my Manhattan restaurant list.	trattoria	1
The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.	food	1
Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	tables	1
I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.	food	1
If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.	marinara/arrabiatta sauce	1
Check out the secret back room.	back room	1
Thank You Emilio.	Emilio	1
The food was authentic.	food	1
The service was excellent - friendly and attentive.	service	1
Very good wine choices.	wine choices	1
Who has room for Cheesesticks with the best pizza in NYC!	pizza	1
Get the pepperoni - YUM - and a family style salad.	pepperoni	1
Always great service!	service	1
The food is good, I can't lie.	food	1
But the staff was so horrible to us.	staff	-1
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.	waitress	-1
This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.	place	1
Amma is nothing special.	Amma	0
I ate here a week ago and found most dishes average at best and too expensive.	dishes	-1
Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.	vegetarian dishes	1
Decor is nice though service can be spotty.	Decor	1
This place is always packed.	place	0
Most importantly, food is excellent.	food	1
First of all Dal Bukhara Rocks.	Dal Bukhara	1
I am happy i did the food was awsome.	food	1
and yes Dal Bukhara is so dam good and so are all the kababs.	Dal Bukhara	1
Haru on Park S is simply disgusting.	Haru on Park S	-1
The fish was not fresh and the rice tasted old and stale.	fish	-1
Quite frankly, this is some of the worst sushi I have ever tried.	sushi	-1
honestly the worst sushi my husband and i had in our entire lives.	sushi	-1
not sure why this restaurant would be rated that highly.	restaurant	-1
the all-u-can-eat sushi is definitely in very poor quality.	all-u-can-eat sushi	-1
limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice. 	menu	-1
the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish. 	soy sauce	-1
the waitstaffs are nice though.	waitstaffs	1
I have been to Roth's twice and both times were very disappointing.	Roth's	-1
Both times I was extremely dissappointed by the service, which was boarderline rude.	service	-1
I had their eggs benedict for brunch, which were the worst in my entire life, I tried removing the hollondaise sauce completely that was how failed it was.	eggs benedict	-1
With the theater 2 blocks away we had a delicious meal in a beautiful room.	meal	1
The service was attentive.	service	1
Planet Thai is great!	Planet Thai	1
We love the food, drinks, and atmosphere!	food	1
The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!	svc	1
Try the Pad Thai, it's fabulous and their prices are so cheap!	Pad Thai	1
Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!	portions	1
Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.	sandwiches	-1
Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.	atmosphere	1
Chennai Garden is my favorite Indian restaurant in the city.	Chennai Garden	1
They have authentic Indian at amazin prices.	Indian	1
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.	dishes	-1
The seats are uncomfortable if you are sitting against the wall on wooden benches.	seats	-1
Patroon features a nice cigar bar and has great staff.	cigar bar	1
The food is tasty and portion sizes are appropriate.	food	1
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.	restaurant	1
Not a great place for family or general dining.	place	-1
LLOOVVE THIS PLACE.	PLACE	1
Food is excellent.	Food	1
Fish is so very fresh.	Fish	1
Waitstaff are very friendly.	Waitstaff	1
Love YUKA.	YUKA	1
Mermaid Inn is an overall good restaurant with really good seafood.	Mermaid Inn	1
The menu is limited but almost all of the dishes are excellent.	menu	1
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.	lobster sandwich	1
The service is good and ambience is good for a date or group outing.	service	1
The only fallback on this restaurant is the prices.	restaurant	-1
Even though its good seafood, the prices are too high.	seafood	1
The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.	lobster sandwich	1
The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	food	1
When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.	waiter	1
Truly the mark of an attentive waiter.	waiter	1
I highly recommend the restaurant based on our experience last night.	restaurant	1
We ate at this Thai place following the reviews but very unhappy with the foods.	foods	-1
We thought that this place is using too much of MSG cooking in the foods.	foods	-1
I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.	jelly fish	1
The food is so cheap and the waiters are nice.	food	1
Have frequented 'ino for several years and the food remains excellent.	food	1
Cheese plate is a varied delight and great bargain at $10.	Cheese plate	1
The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.	bruschettas	1
(The asparagus, truffle oil, parmesan bruschetta is a winner!)	asparagus, truffle oil, parmesan bruschetta	1
Wine list is extensive without being over-priced.	Wine list	1
Be sure to try the seasonal, and always delicious, specials.	specials	1
I loved this place!!	place	1
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.	atmosphere	1
The food was very good, a great deal, and the place its self was great.	food	1
The wait staff is very freindly, they make it feel like you're eating in a freindly little european town.	wait staff	1
I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!	Cafe Noir	1
The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.	service	-1
The waitress, seems to be more concerned of looking good than actually waitressing.	waitress	-1
The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.	Cafe Noir	1
Salads are a delicious way to begin the meal.	Salads	1
You should pass on the calamari.	calamari	-1
Decor is charming.	Decor	1
What a great place.	place	1
The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.	ambience	1
I would definitely recommend SEA if you like thai cuisine!	thai cuisine	1
I was here a few weeks back and we had the worst customer service experience at a restaurant ever.	customer service	-1
I absolutely Loved this place.	place	1
Excellent atmosphere, delicious dishes good and friendly service.	atmosphere	1
The wine list is also really nice.	wine list	1
Everything was wonderful; food, drinks, staff, mileau.	food	1
I have been to Casimir over 5 times and I have always had a great time there.	Casimir	1
I have tried to make reservations, but both times, the hostess didn't have my name.	hostess	-1
If the weather is nice, try to snag an outside table.	outside table	1
The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	staff	1
From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.	caviar	1
Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.	waitstaff	1
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service.	caviar	1
Nice Family owned traditional restaurant.	restaurant	1
Fresh ingredients and everything is made to order.	ingredients	1
Friendly staff that actually lets you enjoy your meal and the company you're with.	staff	1
I found the food to be outstanding, particulary the salmon dish I had.	food	1
My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.	dim sum	0
We ate out in the back patio, which is worth it as it's cool and the music is hear well there.	back patio	1
Overall, excellent restaurant!	restaurant	1
The food was good.	food	1
The place was nice and calm.	place	1
but the service was a bit slow.	service	-1
The buffet had a nice selection.	buffet	1
Service was also very good.	Service	1
I got an excellent piece of cheesecake and we had several other nice pastries.	cheesecake	1
My son and his girlfriend both wanted cheeseburgers and they were huge!	cheeseburgers	0
Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.	burgers	-1
I had a huge pastrami sandwich on a roll.	pastrami sandwich on a roll	0
This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.	place	1
The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.	food	-1
